"SPLIT","TOTAL_ROWS","FRAUD_ROWS","LEGIT_ROWS","FRAUD_PCT","FRAUD_TO_LEGIT_RATIO","AVG_AMOUNT_OVERALL","MEDIAN_AMOUNT_OVERALL","AVG_AMOUNT_FRAUD","MEDIAN_AMOUNT_FRAUD","AVG_AMOUNT_LEGIT","MEDIAN_AMOUNT_LEGIT","TOP3_FEATURES"
"TEST",56756,28288,28468,49.84,0.99,12063.598200014,12095.435,12097.313493001,12147.3,12030.096085078,12043.37,"AMOUNT, V14, V12"
"TRAIN",455180,227632,227548,50.01,1.00,12041.050542752,12021.66,12052.959834821,12053.705,12029.136854334,11986.465,"AMOUNT, V14, V12"
"VALID",56694,28395,28299,50.08,1.00,12027.576185487,12035.645,12055.252267653,12046.11,11999.806216474,12025.59,"AMOUNT, V14, V12"
